,matchid,teamid,op_teamid,competitionid,seasonid,is_home,team_name,op_team_name,timestamp,goals,op_goals,points,avg_points,avg_goals,op_avg_goals,pass_70,pass_80,op_pass_70,op_pass_80,expected_goals,op_expected_goals,passes,bad_passes,pass_ratio,corners,fouls,cards,shots,op_passes,op_bad_passes,op_corners,op_fouls,op_cards,op_shots,goals_op_ratio,shots_op_ratio,pass_op_ratio
62,32,15,12,,,1,Colombia,Bolivia,23-03-2017,1,0,3,1.33333,1,1.16667,0.86296,0.09074,0.72222,0.23519,1.61988,2,3.82222,0.42593,0.89651,0.05,0.18519,2,0.0963,3.37593,0.57778,0.03889,0.1963,4.16667,0.06296,0.75,1.56111,1.34624
63,32,12,15,,,0,Bolivia,Colombia,23-03-2017,0,1,0,0.66667,0.5,3,0.59815,0.1037,0.71667,0.17963,0.51471,2.27912,2.42407,0.49074,0.82981,0.05185,0.2037,3,0.08333,3.89444,0.53148,0.05185,0.14259,2.16667,0.14444,0.33333,0.75201,0.80989
64,33,19,13,,,0,Uruguay,Brasil,23-03-2017,1,4,0,1.66667,2,1.16667,0.65926,0.22593,0.79259,0.1537,2.41595,1.58333,2.66296,0.49444,0.84065,0.03889,0.18519,2.83333,0.09815,3.9463,0.61111,0.04815,0.20741,2.5,0.07778,1.72222,1.40397,0.7311
65,33,13,19,,,1,Brasil,Uruguay,23-03-2017,4,1,3,3,2.83333,0.16667,0.98148,0.3537,0.58333,0.16481,2.66665,0.55556,5.31852,0.39444,0.9284,0.0463,0.17593,1.66667,0.13148,3.13704,0.56852,0.03519,0.17037,2.83333,0.06296,2.83333,2.47599,1.91009
66,34,17,16,,,1,Paraguay,Ecuador,23-03-2017,2,1,3,1,0.66667,1.83333,0.47963,0.11667,0.7537,0.19074,0.78914,1.8459,2.47407,0.53519,0.82877,0.03519,0.17593,2.33333,0.08333,3.8537,0.40556,0.06481,0.17593,3,0.13704,0.54167,0.73453,0.69843
67,34,16,17,,,0,Ecuador,Paraguay,23-03-2017,1,2,0,1.16667,1.66667,1.5,0.6037,0.1537,0.68519,0.24259,1.38762,1.74573,3.06111,0.63148,0.83821,0.06481,0.15926,3.33333,0.12407,2.67037,0.54074,0.03704,0.13519,2.16667,0.09259,1.33333,2.02012,1.49484
68,35,20,18,,,1,Venezuela,Peru,23-03-2017,2,2,1,0.66667,1.16667,2,0.47963,0.1,0.82778,0.16667,0.80897,1.36561,2.33148,0.47407,0.81939,0.05556,0.18704,3,0.09444,3.81111,0.51111,0.06296,0.16111,1.66667,0.14815,1,1.18233,0.66346
69,35,18,20,,,0,Peru,Venezuela,23-03-2017,2,2,1,1.66667,2,1.33333,0.62778,0.18704,0.63333,0.14259,1.86551,1.3601,2.4,0.4537,0.86123,0.04259,0.12778,2,0.12407,3.86852,0.67222,0.06481,0.18333,2.5,0.10926,1.75,1.32997,0.71294
70,36,12,11,,,1,Bolivia,Argentina,28-03-2017,2,0,3,0.66667,0.5,2.66667,0.55185,0.10741,0.76481,0.17037,0.51471,1.65256,2.08704,0.43148,0.82311,0.05,0.18148,2.83333,0.07222,4.07407,0.50185,0.05926,0.13889,1.83333,0.16667,0.33333,0.57908,0.67481
71,36,11,12,,,0,Argentina,Bolivia,28-03-2017,0,2,0,1.33333,1.33333,1.33333,0.70556,0.1463,0.6037,0.2,1.38624,1.20869,4.26852,0.5463,0.88246,0.05741,0.21667,3.33333,0.11852,2.78519,0.42037,0.04444,0.1963,2,0.10741,1,1.32714,1.63068
72,37,17,13,,,0,Paraguay,Brasil,28-03-2017,0,3,0,1,0.66667,1.83333,0.4963,0.11481,0.76667,0.16481,1.15278,1.88757,2.4537,0.55556,0.81811,0.02778,0.16296,2,0.07222,3.68333,0.46111,0.07222,0.17222,2.66667,0.13333,0.54167,0.65536,0.72401
73,37,13,17,,,1,Brasil,Paraguay,28-03-2017,3,0,3,3,3,0.33333,0.9,0.3037,0.57778,0.14074,2.9487,0.6746,5.40556,0.39815,0.92889,0.05,0.17778,2,0.12593,2.86296,0.52222,0.03704,0.17222,2.33333,0.07963,3,2.16171,2.16866
74,38,20,14,,,0,Venezuela,Chile,28-03-2017,1,3,0,0.83333,1.5,2,0.48333,0.09259,0.73148,0.15926,1.28516,1.42827,2.22593,0.46852,0.81097,0.05,0.16111,2.16667,0.0963,3.44815,0.49259,0.05926,0.16852,1.66667,0.13889,1.16667,1.21303,0.73963
75,38,14,20,,,1,Chile,Venezuela,28-03-2017,3,1,3,1.66667,1.33333,1,0.77037,0.27407,0.54074,0.11852,1.08069,0.87162,4.13519,0.67222,0.85986,0.04815,0.14074,1.66667,0.10741,2.19815,0.23889,0.04074,0.18148,2.33333,0.10926,1.33333,1.19085,3.3176
76,39,16,15,,,1,Ecuador,Colombia,28-03-2017,0,2,0,1.16667,1.83333,1.33333,0.62778,0.12593,0.54815,0.15,1.59595,2.02778,2.90926,0.58889,0.84133,0.07037,0.15185,2.83333,0.12963,2.1537,0.52222,0.04259,0.13704,2.16667,0.07778,1.41667,2.22269,1.62916
77,39,15,16,,,0,Colombia,Ecuador,28-03-2017,2,0,3,1.33333,0.83333,1.16667,0.87407,0.08704,0.72222,0.22037,1.53216,2,3.86481,0.44259,0.89383,0.05556,0.18519,1.66667,0.0963,3.1963,0.52407,0.03704,0.16481,3.16667,0.05556,0.58333,2.61667,1.6226
78,40,19,18,,,0,Uruguay,Peru,28-03-2017,1,2,0,1.66667,2.16667,1.66667,0.65926,0.22407,0.79074,0.17222,2.535,1.83333,2.56481,0.4537,0.84515,0.04259,0.17778,2.5,0.10926,4.08148,0.60185,0.04074,0.18889,2.33333,0.08889,1.76389,1.30397,0.6988
79,40,18,19,,,1,Peru,Uruguay,28-03-2017,2,1,3,1.33333,1.83333,1.66667,0.56852,0.17407,0.59074,0.1537,1.38932,1.83629,2.17407,0.38889,0.86927,0.04074,0.13148,2,0.13704,3.60556,0.66111,0.05926,0.16667,2.5,0.10741,1.41667,1.51747,0.71893
80,41,19,11,,,1,Uruguay,Argentina,31-08-2017,0,0,1,1.16667,1.66667,2,0.59074,0.21852,0.84815,0.20556,2.20737,2.08974,2.18519,0.41852,0.83612,0.04259,0.17407,2.83333,0.10185,4.11852,0.68148,0.04444,0.19259,2.83333,0.1,1.18056,1.10983,0.56745
81,41,11,19,,,0,Argentina,Uruguay,31-08-2017,0,0,1,1.16667,1,1.33333,0.63704,0.1463,0.6,0.19259,1.10847,1.25498,4.08148,0.53889,0.87889,0.05,0.20741,3.16667,0.12407,2.82222,0.46667,0.04074,0.20556,2,0.10556,0.83333,1.41742,1.4918
82,42,18,12,,,1,Peru,Bolivia,31-08-2017,2,1,3,1.33333,1.83333,1.66667,0.62778,0.18889,0.59444,0.16481,1.36795,1.78338,2.29259,0.42593,0.86901,0.03889,0.1537,2.16667,0.13889,3.32778,0.58704,0.05926,0.16111,2.5,0.11111,1.41667,1.47249,0.90002
